title,director,year,country,critic_score,user_score,poster,rt_url
13 Ghosts,William Castle,1960,United States,36,41%,https://resizing.flixster.com/ZyQ0rcdFxpdEr5_NE34jEPKfrNw=/206x305/v1.bTsxMTIxMDk1MjtqOzE3MzE5OzEyMDA7MjcwMDszNjAw,https://rottentomatoes.com/m/13_ghosts
Atom Age Vampire,Anton Giulio Majano,1960,Italy,,6%,https://resizing.flixster.com/ICA3ek2sSP4C0RRmz0Na2J6aqcU=/206x305/v1.bTsxMjE5MzE1OTtqOzE3Mjg2OzEyMDA7MTUxMzsyMTg0,https://rottentomatoes.com/m/atom_age_vampire
Black Sunday,Mario Bava,1960,Italy,85,77%,https://resizing.flixster.com/L09i0-U7lL4nyKeUM-EZao74nY0=/206x305/v1.bTsxMTIxMTA3MjtqOzE3MzE5OzEyMDA7OTAwOzEyMDA,https://rottentomatoes.com/m/black_sunday
Blood and Roses,Roger Vadim,1960,France & Italy,,37%,https://resizing.flixster.com/CtGurU3RsRZFej-3BnL-OUC6PlA=/206x305/v1.bTs1MDkzMzAzO2o7MTcyOTM7MTIwMDszNTA7NDY2,https://rottentomatoes.com/m/blood_and_roses
The Brides of Dracula,Terence Fisher,1960,United Kingdom,73,62%,https://resizing.flixster.com/otOaSg3PJjCzSKNBy6pmpVtE7m8=/206x305/v1.bTsxMjE4OTQ1NjtqOzE3Mjg2OzEyMDA7NzY4OzEwMjQ,https://rottentomatoes.com/m/brides_of_dracula
Circus of Horrors,Sidney Hayers,1960,United Kingdom,,,https://resizing.flixster.com/lYp5GkW0Y4o77CXaQKGoeySZo2g=/206x305/v1.bTsxMjEzMjA4NDtqOzE3Mjg1OzEyMDA7MTQ0OzE5Ng,https://rottentomatoes.com/m/circus_of_horrors
The City of the Dead,John Llewellyn Moxey,1960,United Kingdom,,59%,https://resizing.flixster.com/H5Mh1PAJg7zu_6nyMX257J5W52g=/206x305/v1.bTsxMTE3MDM5NztqOzE3MzE5OzEyMDA7MjE0OzMxNw,https://rottentomatoes.com/m/the_city_of_the_dead_1961
Eyes Without a Face,Georges Franju,1960,France & Italy,,,,
The Flesh and the Fiends,John Gilling,1960,United Kingdom,,,,
The Ghost Cat of Otama Pond,Yoshihiro Ishikawa,1960,Japan,,,,
The Hands of Orlac,Edmond T. Greville,1960,France & United Kingdom,,33%,https://resizing.flixster.com/Mg4OAJe701lcOWJOSD6GPtRRrFY=/206x305/v1.bTsxMjExMjkyNTtqOzE3Mjg1OzEyMDA7Nzg7MTQw,https://rottentomatoes.com/m/1056118-hands_of_orlac
Horrors of Spider Island,Fritz B&ouml;ttger,1960,West Germany,,19%,https://resizing.flixster.com/SNwO1CkMdu-ZRSVk0i2nW0TLhjQ=/206x305/v1.bTsxMjE5MDg1NztqOzE3Mjg2OzEyMDA7MTU2MzsyMTY5,https://rottentomatoes.com/m/horrors_of_spider_island
House of Usher,Roger Corman,1960,United States,90,73%,https://resizing.flixster.com/moAwq7rS8mRrVvPHs16aG-4bK8Q=/206x305/v1.bTsxMjIwMjIxNztqOzE3Mjg2OzEyMDA7MzI5OzQ3NQ,https://rottentomatoes.com/m/the_fall_of_the_house_of_usher_1960
The Housemaid,Kim Ki-young,1960,South Korea,,78%,https://resizing.flixster.com/9fatAujYp3drMfulCk-7BsmZ06o=/206x305/v1.bTsxMjE5NDMzNztqOzE3Mjg2OzEyMDA7MTAwMDsxNTAw,https://rottentomatoes.com/m/hanyo
